Name,Guild,Race,Total Level,Items
Homurachan,Kani,Giant Female,51435,
Ibani,Hershey,Elf Female,91287,1230039;3100003
Enkiduwyldd,,Giant Male,2855,
Nobo,Goodmorning,Human Male,78659,
Lightwon,Uranus,Giant Female,57136,
Roquero,,Giant Male,69,
Zeldaskye,Slayer,Human Female,13813,
Megumint,Audicia,Human Female,80689,19407
Irontomb,Lost,Giant Female,75346,
MLove3,,Human Male,20039,
Jhyn,Mitigate,Elf Male,81396,
enilla,Chai,Human Female,80600,
Krumpy,Severe,Human Male,53534,
Frost+Tarlach,Visions,Human Female,108373,
MSCEO,,Human Female,3075,
PRESSHARDER,Eggie,Human Male,74994,
Martipp,,Human Female,0,
Succuout,Niflhel,Human Female,55399,
Daianthony,Vsekai,Human Male,49065,
Megalom,Lonarpg,Giant Female,106837,
Audmann,,Giant Male,21552,
chewycheese,Arms,Human Male,45584,
Ajkid,Rainconquest,Human Male,27019,
Robertq3,,Elf Male,0,
Xolta,Cowcafe,Elf Female,54150,19407
pachira+Ruairi,Lazynogi,Human Female,43031,
Dyox,,Human Male,41457,
hazelxd,Tekkaden,Human Female,51414,
Toshikon,Fillia,Elf Male,60449,
Thefinalwub,Hildred,Elf Female,50283,
Hikizu,Breakfast,Human Female,64214,1420006
Bambuawu,,Human Female,2000,
Hogimos,Mimics,Giant Male,21071,
Mugglex3,,Elf Male,66574,
Adriana,Wander,Elf Female,46605,
Chankster,Selkies,Human Male,86554,
Relandi,Shenanigans,Elf Male,54256,
Ryusakenz,,Human Male,82513,
Yverr,Moxie,Giant Female,51337,
eforge1111,,Human Male,22482,
Nelhee,Diamonds,Human Female,46981,
Pandora,Shenanigans,Human Female,56151,
Zelgwyn,Frosty,Human Female,66990,
Lidnev,,Human Male,22020,
Banehollow,Boopsquad,Human Male,74619,3100003;19406;3100003
Liadain9,Bunnyhutch,Human Female,28526,
Eatsush1,Dinner,Human Male,51333,
Tatertot0963,,Elf Female,22878,
Mewowo,Fayenia,Elf Female,22314,
Terinah,,Human Female,22072,
Celinette,Sanrio,Human Female,57757,
lilylawliet,Endowed,Human Female,90125,
Dingrswingr,Citypop,Human Male,44077,
Sailormoon,Onlynyans,Human Female,158651,
Neostar,,Elf Male,32619,
Silvana1014,COGs,Human Female,47965,
Swiftflash+Ruairi,Visions,Elf Male,75693,
Roksim,Serial,Elf Male,78818,
Riyalgo,,Giant Male,0,
Lostaodroj,Insomniac,Human Male,83060,
Autemlitch,Beyonders,Human Female,40519,
alexirae,Loot,Human Female,30670,
Topbuzz,,Human Male,0,
Akiyumo,Eloquent,Human Male,36673,
Pankooda,Transcend,Human Female,70135,
Silbaria,Blossom,Elf Female,53670,
Ixtap,,Giant Female,0,
oneesanlove,Lost,Elf Female,48802,
Dynastrike,Lost,Giant Male,54075,
e2234,Guild101,Elf Male,22036,
Incomparable,Peace,Human Male,60905,
Aranell,,Elf Female,58680,
Xrz,,Giant Male,44180,
flamelord102,Silverdust,Giant Female,43078,
Emmie11,,Elf Female,0,
Cartizol,,Elf Male,22201,
Ranju,Teaghlach,Human Female,28625,
Killa,Sofakinglazy,Giant Male,57888,
probablyhack,Pierce,Elf Female,98744,
riversdoll,,Elf Female,21312,
Tuxedos,,Elf Male,40502,
Abocado,Eggie,Human Female,69924,
Banobibi,Sakura,Giant Female,52810,
Loraxkills,Soloist,Human Female,30407,
Roxasrocks,Delete,Giant Male,39000,
Fivedhk,Fortuna,Human Male,60197,
Jordynyn,Loot,Elf Female,38308,
Mechageno,Kismet,Human Male,54112,
Beliefs,,Human Male,0,
almalena+Alexina,,Human Female,21550,
Fulgere,,Human Male,38272,
Shroomella,Mushrooms,Human Female,45028,
valeriadgg,Arms,Human Female,26530,
Nacht,Kemonomimi,Elf Female,43832,
Valentine,Cherish,Human Male,62064,
Albipache,Masiosareinc,Elf Male,51824,
Noiroi,,Human Female,57118,
Chiya,Goodmorning,Human Female,67855,
xluisx,Goodmorning,Human Male,73921,
Meru,Radiant,Human Female,100448,
Yuukinozomi,Phase,Elf Female,49185,
Lahgertha,,Human Female,0,
Ulquiie,Oekaki,Human Male,61042,
Musicbot,Nekomaids,Human Female,54565,
Kazeumii,Rikka,Human Male,116239,
Defile,,Human Male,0,
Nitiara,Wander,Human Male,75473,
Destruidorx,Eradicate,Giant Male,73981,
Vyos,Goodmorning,Giant Male,57097,
Ulbolratana,,Human Female,77325,
Ratholyman,Access,Giant Male,49317,
Kaikailong,,Human Female,0,
KOfholdem,Severe,Elf Female,48907,
Franncisca,Bartenders,Giant Female,44596,
Maii11,Railgun,Elf Female,70332,
Apocrypha,Andromeda,Human Male,20586,
xrk,Cowcafe,Elf Female,51605,
Egdor,Frens,Elf Male,24885,
Bwuany,,Human Female,66817,
Feathersamaa,Havens,Human Female,5297,
mrtwarrior,Goodmorning,Human Male,74429,
Charon,Fateless,Elf Female,88614,1080048
Taklin,Dragonden,Elf Male,54440,
aubirdf,Isekai,Giant Female,81988,
Aristeu,,Human Male,249,
Sirlemonn,Goodmorning,Giant Male,59909,
NAPDavid,Kyndred,Human Male,276981,19406;3100003
Rovissa,Nacht,Human Female,41973,
Kandykayne,Visions,Human Female,91525,19407;19407
Trueshot+Alexina,,Elf Female,0,
Unstinting,Boyz,Human Male,63990,
Hawquey,ghoulios,Elf Male,54329,
Cakeypies,Motion,Elf Male,54650,
Applepupper,,Elf Female,22381,
Grimmiers,Nohr,Human Male,80351,
Timpini,Peace,Human Female,35910,
Kuzunagi,,Human Female,33558,
Realm,Transcend,Elf Female,62856,
matchacco,Oekaki,Elf Female,116103,3100003;19407
Eggnagi,Transcend,Human Female,52394,
lizardjuice,Hissfunction,Human Female,59974,
Teresuu,Save,Giant Male,27874,
Hazelyn,Noctis,Elf Female,70691,
Mavrique,,Elf Male,0,
Chatteringskull,thorny,Giant Male,91486,19406
Yvv,Phase,Human Female,70014,
Savagecross,Huggables,Human Male,54952,
yyenchant6,,Human Female,21619,
Astrinette,Shiningstar,Elf Female,52912,
Cabbage,Chromatic,Human Male,50208,
Sitriss,Slayer,Human Male,51185,
Chizurusnow,Peace,Elf Female,41798,
Ulwen,Aberteifi,Giant Female,11062,
Lorikal,,Elf Female,26021,
Alphashadow,Snow,Human Male,56696,
Shiemiru,,Human Female,12935,
Sphinx,Eloquent,Human Female,37588,
ico25,,Human Female,0,
Satanaas,Severe,Elf Male,58073,
Soulyris,Lightbearer,Human Female,22687,
Masag0,Solarium,Giant Female,49645,19407
Seerth,Choasguards,Human Male,29309,
XRelikane,Oddblock,Human Male,92800,
Speyeria,Infernal,Human Female,41843,
Tsukimisa,Mugen,Human Female,107148,
Archfomorian,Endowed,Human Female,69933,
Pezz,Master,Human Male,60400,
Dramacus,Wilnas,Human Male,48056,
INightz,Sundew,Human Female,39356,
kyattz,Blood,Elf Female,45280,
Wintersgiftn,Vsekai,Elf Female,48091,
Omnivolm,Fillia,Human Male,49586,
ruinedcredit,Pierce,Human Female,40281,
Seiyonce,Voodoo,Human Female,64999,
Pistondanger,Cakes,Giant Male,46754,19406;19406
Azhdaja,,Giant Male,0,
Bubblesblue,,Elf Female,22828,
Nio,,Human Female,0,
Rosalinekore,,Elf Female,0,
Succubare,,Human Female,40286,
rosequartz37,,Human Female,6015,
Kaelinn3,Freesia,Human Female,93918,
Soxii,,Human Female,0,
Dinnerbells,,Human Female,0,
Briarblossom,Fulltimers,Human Female,10460,
Zingshifter,Lost,Elf Male,59534,
Raruku,,Human Female,174712,
ukikun,Cavalry,Human Female,61412,
kawaiidokuro,Cluster,Human Female,27962,
foxegirl,Goodmorning,Human Female,95460,
Iyoi+Alexina,Niflhel,Human Female,6544,
Jpanboy,,Human Female,24281,
Tetsuy,Lost,Human Male,53876,
Xelkenia,Sunshine,Giant Female,61846,
KAYDEXION,,Giant Male,0,
Fallingchaos,Niflhel,Human Male,60791,
Emila,Dinner,Elf Female,53745,
kurokaneki,Infernal,Giant Male,23098,
Eldernierus,Diamonds,Giant Male,50773,
Snowwy91,Shenanigans,Human Female,82227,
Kaitimos,Mazoku,Human Male,59919,1250026;19406
Solar,Imperium,Human Male,86224,
Rissa,Mugen,Human Female,46850,
Charbenet,theholyorder,Human Female,129744,
Zemniak,Mitigate,Elf Male,49101,
Lunataer,LANDOFCARROT,Elf Female,26786,
Monferno+Ruairi,Rivulet,Human Female,48880,
Candita+Mari,Kupas,Human Female,27885,
meamsword,Delirium,Human Male,102346,
Orangerolls,Iris,Human Female,42955,
Honeysenpai,Shenanigans,Human Male,52763,
Ryouza,Nutella,Human Female,23312,
bdfgcvertg,,Elf Female,1,
Sangobana9,RF72,Human Female,28002,
Alineor,Himejoshi,Elf Female,48141,
Myra,Astarius,Human Female,37771,
Blackshp1704,,Giant Male,0,
Homura,,Human Female,10279,
Tyvon+Tarlach,,Giant Male,55972,
ricofd,Laughtale,Human Male,26005,
cedesmcc,Luxubu,Human Female,15802,
Falius,Kyndred,Human Female,47107,
Wummbly,Mewsicians,Human Male,25541,
Tamakoya,Cakes,Human Female,36347,
Rottenchan,Peace,Elf Female,40687,
Aslrill,,Elf Female,232,
softpink,,Elf Female,0,
Jalamou,Alliances,Human Male,40726,
Faelicia,Kyndred,Human Female,69372,
Nemm,Motion,Elf Female,54504,
Shaylalyn,Carmesim,Human Female,22297,
Sekkos,thorny,Human Male,47753,
Xebin,Naptime,Elf Female,24023,
GXD,Motion,Elf Male,56202,19406
Jokboe,Altinogi,Giant Female,27846,
Lukahjin,Despair,Elf Female,21603,
tofu,Goodmorning,Human Female,56342,
Rigelwing,Shenanigans,Elf Male,54792,
ILyciel,Drowsy,Human Female,93238,
Cherrie,Radiant,Human Female,78393,
Mxrbid,Demise,Elf Female,70592,
Lheye,Jocks,Human Male,38265,
Pinkalot,,Human Female,36093,
nnsk,Ratchet,Elf Female,46826,
Kyuki,,Giant Male,2850,
Repressd,Peace,Human Male,46929,
Boddong,GRUMPY,Elf Male,56525,
Victorlqe,Divination,Human Female,41605,
Aries,Chai,Giant Female,53992,
Taonakku,Lightguardia,Human Female,93998,
Lumielly,Swirl,Human Female,72885,
Bobabeam,Swirl,Elf Female,43243,
Merpoh,Leeann,Human Female,23053,
Sped,,Human Male,73866,
Liljakey,Roseblood,Elf Male,25414,
Ariyawyn,Arrowstar,Human Female,33415,
Zeratori,Niflhel,Elf Female,20544,
VHMON,,Human Male,0,
Cycrex,,Giant Male,21066,
whoiisthat,,Elf Male,39000,
Lyrano,Solarium,Human Male,82890,
Unchainedmelody,Surrender,Human Female,5402,
Bovino+Alexina,,Giant Male,21270,
Shockeer+Alexina,Solarium,Human Male,52563,
Fountainhead,Wise,Human Male,50810,
Jerry,Sheepies,Human Male,74003,19406;3100003;41233;3100003
Ciirn,Paeonia,Elf Female,23771,
Cleftobismol,,Human Male,41935,
Syllria,Phase,Human Female,55276,
Furgasa,Cozycrew,Human Male,64439,
Stevies,Bunbunempire,Human Female,77006,
Mintymint,lnsane,Elf Female,29150,
Parallelogrm,Shapes,Giant Female,80763,
Kaxuma,Frosty,Human Male,66257,
Intenze,,Elf Male,6710,
Vivaxo,Zenko,Human Female,45276,
Belluyas,,Human Female,24657,
Korsika,,Human Female,77229,
Mago,Valencia,Human Male,85211,19406
Liiyon,Andromeda,Elf Male,25392,
Idetrixi,,Elf Female,20476,
Meene,Eggie,Human Female,68800,
Dreamslayer,Eradicate,Human Female,56157,19407
Dodorina,Mistica,Elf Female,19667,
Kriemhilde,Suzunaan,Giant Female,51700,
Darksuzune,Kitsuneflame,Human Female,32545,
Takanori,Motion,Human Male,75895,
Satorikome,Lostbelt,Human Female,21887,
Honokaemi,Cloudytomato,Human Female,67870,
Abadar,Kismet,Human Male,45819,
Nozamii,,Elf Male,142704,
Cerbera,,Elf Female,0,
Smugwendys,Dementia,Giant Male,47443,
jony01,Eloquent,Giant Male,139,
Starfirex,Kitsuneflame,Elf Female,46223,
Arashikosori,Nomad,Human Female,53002,
SEVERONmutsu,BADLuck,Human Male,63984,
kenai,,Human Male,51295,
Midinette,Laundrysoap,Elf Female,34768,
Womanchu,Juice,Human Female,44146,
Mangke,,Human Male,20893,
Bubblehazel,Noctis,Elf Female,60886,
Harukari,Mugen,Human Female,92681,
Neori,Troupe,Human Female,48156,
BEIchilling,Severe,Giant Male,36190,
Chuip,Manna,Elf Male,59780,
Aahhkkii,Kirin,Human Male,56022,
Shini,Diamonds,Human Female,47794,
Sheba55,Bloodempire,Elf Female,17748,
Ryoung,Lost,Human Male,151574,
Lushaluna,,Elf Female,28745,
Eddie,,Human Male,0,
Uniden,Naviri,Human Male,37393,
Iillill,Onlynyans,Elf Female,54584,
Amberclover,Eloquent,Giant Female,49761,
Celestrya,Boundaries,Human Female,21953,
Irang,NAVER,Elf Male,77149,
Chonkydwarf,Boundaries,Human Male,66630,19406
Pwnygr1,,Human Female,5570,
Merethyl,,Elf Female,23341,
Stealer,Cannoli,Human Male,57181,
pleiadesawa,Isekai,Human Female,64730,
SILVERdraco9,Oaks,Human Female,101006,
Terue,Capitalism,Human Female,57963,
Crwndshadow,Riftworn,Elf Female,25930,
Gumi,Wander,Human Female,104644,
Playwright,,Human Female,38800,
Alteredbeast+Alexina,Holyhydra,Giant Male,476,
Dinnus,Motivational,Human Male,25170,
Advisorklp,Caledscratch,Human Male,56235,
butterkyle,Chess,Human Male,20535,
Magicka525,,Human Female,0,
Kyoojin,,Giant Male,5854,
Carlize,Chai,Elf Female,108284,
Aero1,Cloudy,Human Male,139560,3100003;1020004
Xefo,Artificers,Human Male,62376,
straymeow,Lost,Elf Female,82364,3100003;19407
thatcoy,Boundaries,Human Male,69800,
Hezekiah,,Human Female,0,
Matapotamus,Tetris,Giant Male,41911,
naomisz,,Giant Female,20476,
Neliel,Niflhel,Giant Female,63346,
Meowmerz,,Elf Male,27848,
Saturn98,Science,Human Female,26341,
Lylit,,Giant Female,23992,
Ephemeralfox,Loot,Elf Female,52373,
Katibeth,Niflhel,Human Female,45312,
Masterdaro,Nightbringer,Human Male,68130,
ssarrow,,Elf Female,22000,
Annie,Lost,Elf Female,49261,19407
Unigundam,Obliviongems,Human Female,50531,
Eilisara,,Elf Female,17515,
Piccol0,,Giant Male,20085,
Yukkikasai,,Human Female,46176,
Pikmin,Stomp,Elf Male,40286,
Glaciating,,Giant Female,7362,
Kuronotaiyo,Gothic,Human Male,69979,
Bunionblast,Physical,Elf Female,40576,
Sukamon,Phase,Human Female,30493,
Senhimesama,,Human Female,96257,
Sevvyn,Alliances,Elf Male,32345,
Queenaudren,,Human Female,0,
Miri27,,Elf Female,23130,
Zzidane,Cosplay,Human Male,16,
Nemomen,,Giant Male,0,
Zenoshi0,,Human Male,0,
Healer,Cakes,Giant Female,25636,
Drumur,Peace,Giant Male,47672,
Yoozu,,Human Female,0,
Docelyn,,Elf Female,0,
Joanny,Fungi,Human Female,58901,
Thistle,Fateless,Human Female,46077,
Nenni,Blossom,Elf Female,26943,
Sooshi,Niflhel,Human Male,42759,
higgls,Minecraft,Human Male,54520,
Latharra,Juice,Elf Female,44606,
Kanamialex,,Human Female,7285,
Woxs,,Human Male,26504,
Ieja,Mitigate,Human Male,80948,
Spambots2,,Elf Male,20476,
tylernate15,Visions,Human Male,46378,
Clj+Alexina,,Human Male,5437,
yratos,Niflhel,Giant Male,52473,
sakunoobi,,Human Female,24613,
Kingtea,Truedarkness,Human Male,48447,
Rikari,Starcana,Human Male,50448,
Akaristyx,Arrowstar,Human Male,72008,
Silverhydra,,Giant Male,0,
Sassyloli,thorny,Human Female,39849,
Takimaru+Ruairi,Heluvessence,Human Male,23120,
Cocolites,,Human Male,20672,
Cakies,Meowbinogi,Elf Female,45167,
Delavoid,Slayer,Human Male,51587,
Inoseta,Chai,Elf Female,31146,
Sleepydio,,Human Male,0,
snakestrike9,Kitsuneflame,Human Male,61774,
Enzolor,Tentacult,Elf Female,50428,
Karenaa+Tarlach,Frens,Human Female,45142,
Hebinonamida,,Human Male,0,
Ikkaku23,Dorkables,Human Male,36599,
Alerih,Lullaby,Human Male,55806,
Ibah,Audicia,Human Male,49371,
Dulimus,Frosty,Human Male,97263,
zlzonkkuku,Eggie,Human Male,52124,19406
Zillakama,Incarnate,Giant Male,64709,
proddxter,,Human Male,20859,
Alexxsander,Vanquisher,Human Male,76747,
Minnty,Transcend,Elf Female,78841,
Lights,Blood,Human Female,41765,
Bishamonten,Lost,Human Male,50064,
Aiekko,Shinanigans,Elf Female,47961,
Stefanie,Hershey,Human Female,68732,
Tycurion,Potionseller,Giant Male,22696,
Daano,Aitailians,Human Male,79478,
Aashiro,Hildred,Human Male,59740,
Lulunardia,Frens,Giant Female,57430,
Anifreak,,Human Male,0,
Pipedrop,,Elf Female,0,
Jubeiki,,Human Male,43013,
Moulinglacia,Felons,Giant Male,52224,
NOVT,Blue,Giant Male,58408,
Everlief,Honeybun,Elf Male,25717,
Suekane,Aurum,Giant Female,30229,
lgglybuff,,Human Male,75841,
Michaelcr,Severe,Human Male,82306,
immortalord+Alexina,Wander,Human Male,31902,
Shico,Vanquisher,Human Male,40504,
serrex,Lullaby,Human Female,47498,
Pyera,Wander,Elf Female,68630,
Carnacki,Hiraeth,Human Male,47342,
Ranyia,illuminee,Elf Female,50380,
Celesterius,Nightcord,Elf Female,40394,
Kihana,PRAMUKA,Elf Female,21784,
CIotaire,Bunbunempire,Human Female,50783,
Velivoya,Boundaries,Giant Female,56432,
Olgamary,Niflhel,Elf Female,49714,
Kaiserx,Dragonfly,Human Male,41294,
Rhodaka,Blood,Elf Male,66974,
sirchrehpo,Mira,Human Female,48278,
grayreaper07,Prince,Giant Male,28645,
DOHIGIEv2,UNBANDOHIGIE,Human Male,21898,
Auri,Goodmorning,Human Male,60646,3100003;19406;3100003
Jaimmz,,Human Female,66659,
Geckoh,Ophanim,Elf Female,10456,
Jer,Looters,Human Male,50040,
lai4,Infamy,Human Female,23306,
Hatashii,,Elf Male,4506,
Notnano,,Giant Male,20903,
Rensa,Lullaby,Elf Female,50299,
arcangel2001,Beyonders,Human Male,48413,
Xisamida,Mechanics,Giant Male,47738,
Rasia,Mitigate,Human Female,42007,
Khoon,Bebichhichi,Elf Male,30961,
Shhyvana,Isekai,Human Male,29660,
Elimina+Mari,Hundera,Human Female,29715,
Lunaru,Endowed,Human Female,147512,
Goodmorningb,Lingerie,Giant Male,56376,
Arsaine+Ruairi,,Elf Female,1877,
Yorushi,GRUMPY,Human Male,111290,
Mielauv,Cloudy,Elf Male,50245,
Dinarcher,Fateless,Human Male,61467,
Citomah,Adventsouls,Human Male,47093,
Alex1012,Shakari,Human Male,24368,
Espiri,Rainstorm,Human Female,65970,
Luxcavae,Mabigen,Human Male,73528,
Arsha,Lost,Giant Female,61868,19407
Yuntin,,Giant Male,0,
Sourpenny,Archive,Human Female,56849,
Poshy+Mari,Motion,Human Female,37237,
Karmo,Mammamia,Human Female,116143,
Charlesdunoi,Tsukimichi,Elf Female,83367,
Nightwatcher,Eloquent,Elf Female,22517,
Amusedlizard,Hissfunction,Human Female,73695,
Aricelio,Paeonia,Human Male,24584,
kingtofu,,Elf Male,0,
Tungtong,Visions,Human Female,63852,
Nataline,Eradicate,Giant Female,69126,
Gibenchants,,Human Female,38964,
Tay,Goodmorning,Giant Female,51788,1060011
Shadowkai,Goodmorning,Giant Male,48839,
IDakota,Visions,Elf Male,53360,
Miizukkii,Nobilis,Human Female,32344,
Aine,,Human Female,70704,
Stormloudzz,Scuabtuinne,Elf Male,30171,
Godseyess,,Elf Female,12515,
Luette,Cheesecake,Human Female,44162,
Ninjafred10,,Human Male,75110,
Mapleclover,,Human Female,21106,
Mysticalfrog,Densetsu,Human Female,27750,
Miasuke,,Human Female,42508,
Muchoqueso,Onlynyans,Giant Female,29650,
Nekomattan,,Human Male,0,
Moondoggy2,Knightsoftir,Elf Male,82879,
Korihi,,Elf Female,189,
Epicpower137,Zenko,Human Male,35194,
Kaaya+Ruairi,PENSIONERS,Human Female,25689,
Damron,Crimsonnoble,Human Female,46461,
Youky,,Human Female,40750,
Gambil,Dinner,Human Male,70118,
Kennyz777,Ironskullz,Human Male,14279,
Syllabea,Windward,Human Male,43725,
Shogunzera,MOSS,Human Male,59515,
Nightfiree3,Optimates,Human Female,50871,
Tierden,,Giant Male,24553,
Potentials,Guild101,Elf Male,42053,
Cyberkitkat,Devilsdango,Human Female,61146,
Gannei,,Giant Female,55905,
Tsunaiyoshi,Dragonden,Human Male,55902,
yuficcino,Breakfast,Human Female,22323,
Gioidk,Nakamas,Human Male,72244,
Corinnaa,Astarum,Human Female,47302,
Pannacotta,,Human Female,45237,
Samyrah,Mewsicians,Human Female,43627,
Akikasa,,Human Female,0,
Keyedzbasic,Sword,Human Female,53174,
Wuu,Alliances,Human Male,42834,
Virginity,BTeam,Human Male,47540,
Magis,Frens,Human Male,52048,
Daimau+Alexina,Gremlins,Giant Male,46869,
spiderlilyy,Auvyn,Human Female,24878,
Merrielle,,Elf Male,0,
Meddeo,Amanecer,Human Male,57155,
Paimonsita,Eradicate,Human Female,21397,
Ashen,Lost,Human Male,78235,41233;19406
Lynna,Radiant,Elf Female,75486,
Wispmstbound,,Elf Female,27168,
Finepanther,Dualshock,Human Female,54131,
Edelgarden,Dualshock,Human Female,49998,
Risingruin,Solarium,Human Female,111995,
Nesu+Alexina,Salt,Human Female,24644,
Elitfremaune,,Elf Female,2034,
Twlightnight,Guild101,Human Female,71342,
miharu0,Goodtime,Human Female,41576,
Elisa,Gourmet,Human Female,84817,
kidfragger,truejester,Elf Female,56865,
Luseiren,,Human Male,22331,
laeshalady,Moosh,Human Female,84491,
Butterfli+Alexina,Pennywise,Human Female,5446,
GXS,,Giant Male,0,
Ptzl,Wealth,Human Male,52629,
Snu,,Elf Male,21624,
Eseweii,Visions,Giant Female,70575,
Niakomi,Slayer,Elf Male,47145,
Nillstanttv,,Human Male,0,
Manmtn96,Eastcoastmio,Human Male,46912,
Raitr,Hildred,Giant Female,65823,
Keeanna,,Human Female,21166,
Aletir,Transcend,Human Male,108093,
moolemoole33,,Human Female,2,
Zeldarocks,Clachan,Elf Female,49538,
Lauva,,Elf Female,0,
Manbo7,Optimates,Human Male,95850,
Heartreats,Astarius,Human Female,56873,
Swifttempo,Fillia,Human Male,32136,
Siggey,,Human Female,20965,
Hoblin,Wander,Giant Female,73737,
ARREDONDOjj,,Human Female,15396,
Rauk01,,Human Male,20476,
Sakurako,Wander,Human Female,113131,
Sheep,Nakamas,Human Male,87132,
Zenjuuro,Valarenn,Human Female,7385,
Rise10,Candy,Human Female,10393,
Fly2025,Flyinghigh,Giant Male,60025,
Reyiza,Sundew,Giant Female,108924,1080048
Vatrix,Vanquisher,Human Male,76322,
Ahba,,Elf Male,50226,
Endeavour,Innocence,Human Male,94319,
hyurdus,Rememberance,Elf Female,38,
Sucstoes,Lost,Elf Female,89057,19407
Cinnamix,Moonstone,Human Female,54482,
Ellisien,,Human Female,157783,
Hexdiphy1,Havens,Giant Male,62773,
Kurootsu,,Human Female,0,
Snapsauce,Mabigen,Human Male,59359,
Yshikokiharu,,Elf Male,34425,
Riuk,Juice,Human Female,96205,
DJNuggz,Sterling,Human Female,67275,
Recarve,,Giant Female,0,
Jiaoqui,Doujin,Human Male,45948,
Paergence,Cheesecake,Human Female,48457,
Crayl,,Elf Female,0,
Mirasung,,Human Female,27646,
Gabrielgrowl,Minecraft,Giant Male,36447,
Apocalypseis,Niflhel,Giant Male,23459,
Nephilim,,Human Male,38730,
Audurey,illusia,Human Female,40010,
Richarddou,Solarium,Human Male,70688,
Ednaeri,Crazyloners,Human Female,10585,
Mermora,,Human Female,22684,
Hungee,Delirium,Human Male,44499,
Cammily,Gremlins,Elf Female,60666,
Mizum0,Optimates,Human Male,126729,
Delretru,,Giant Female,0,
Shoffy,Cakes,Giant Male,43884,
Iaska,Blacktea,Elf Female,46776,
Rubyclover,Lost,Human Female,114836,1080048
Cilene,Crystania,Elf Female,51412,
Ghoulah,,Human Female,0,
Evulbehr,Shrouded,Human Male,62789,
Heneler,,Human Male,20476,
Momizixp,Arkadia,Human Female,69467,
Leinei,Takingover,Human Female,56197,
Xenmas+Alexina,Loot,Human Male,89476,
Mezumaru,Sleep,Human Male,93191,
Lyloii,Ovenfresh,Elf Male,46926,
Chairmonger,Motion,Human Female,46038,
Rizuka999,Miesedaap,Elf Female,48375,
Kainie,,Human Female,119353,
Farnaway,Ardent,Human Female,43783,
Rayray715,Ouroboros,Human Female,9058,
DOURGENS,,Human Male,21488,
Toxic,Goodmorning,Elf Male,63200,
aericell,,Elf Female,0,
secta,Bloodempire,Human Male,73324,
Paegnea,,Giant Female,20840,
Minorme+Alexina,,Human Female,25675,
Yeff88,,Elf Male,30543,
magicessence,Severe,Human Male,45233,
lucinha8,,Human Female,22488,
Kittih,Hershey,Elf Male,51452,
Ramisa,Haya,Human Female,45397,
blueriveer,Wander,Human Male,95501,
Luckycat,,Human Female,0,
Emnigin,,Human Male,79946,
Goodsoup,Fiction,Elf Male,72800,
Kabe1995,Motion,Elf Female,52390,
Yshakaron,Mercury,Human Female,31435,
Zadlen,Solarium,Human Male,61910,
fawnns,,Elf Female,23950,
Sinuetta,,Elf Female,20311,
Wulvlox,Adventsouls,Human Male,84934,
Oroboros,,Human Female,46079,
Halyma,Boundaries,Human Female,70305,
Nasumirayne,,Human Female,4999,
awfyn,Delirium,Elf Male,45661,
Stolt,Looters,Human Male,57016,
Yuesi,,Elf Female,48740,
Ebitsu,Village,Elf Female,49630,1080048
Ariacana,thorny,Human Female,77800,
zookkis,Sleep,Elf Male,43420,
Botox+Ruairi,Whaleforce,Human Male,52467,
Manareas,Kumogakure,Human Female,58557,
tetsu346,Cakes,Human Male,29875,
Lunarstar,Wander,Human Female,54291,
Undyingsage,ERINNACADEMY,Human Male,57943,
Tackywheat1,Mabinoobi,Human Female,61149,
Pinesauce,,Human Female,31046,
Colleenwhatl,,Elf Female,65045,
Asian,Lost,Human Male,163144,
Hanaritsu,,Human Female,27669,
Dvmbangel,,Giant Male,20476,
Elysia,,Human Female,21840,
Hubibi,,Human Male,38910,
Shyyenne,Glasveil,Human Female,50200,
Mhaol,Hershey,Elf Female,79400,
Annemone,,Elf Female,0,
Madtox,Sword,Human Male,51666,
Arweis,,Elf Male,0,
STEVEMAN,Sword,Human Male,98966,41233;19406
canarc1,,Elf Female,0,
Maeveh,Isekai,Elf Female,51991,
Klouber,Blossom,Human Female,47371,
Chiyakami,Bocchi,Human Female,52208,
Khentokie,Severe,Human Male,35575,
Skaas+Alexina,Oracion,Giant Male,47733,
Elfi,Juice,Elf Female,80248,
Toto,Hershey,Human Female,56290,
XNICETRYX,,Human Male,0,
Shouta,Lealta,Human Female,27989,
Rozenn,Peace,Human Female,9264,
Thyme,Poyo,Elf Male,63335,
Vonnie,,Human Female,0,
Kyz,Lost,Human Male,58568,
Yummyfish,Troupe,Human Female,33425,
Skyrya,,Human Female,0,
yemchaa,Furinkazan,Human Male,21809,
Ukiura,Dread,Human Male,46234,
Leighis,theholyorder,Elf Female,27677,
Shikatana,Catscradle,Giant Male,97624,
Chirenae,Dinner,Elf Female,33778,
Elunias,Trauma,Elf Female,26069,
Fwaylawn,,Elf Male,22136,
Dorchaa,Arrowstar,Elf Male,57964,
Waspswap,Severe,Human Male,97065,
Apart,Ponder,Elf Male,84554,19406
Louievee+Alexina,Innocence,Human Female,47687,
Bellawere,Gizzie,Elf Male,58733,
Sokke,Motion,Human Male,74439,
Amainoa,Available,Human Female,49423,
Madelynn,thorny,Human Female,32110,
Miiko,Oekaki,Human Female,53949,
sobito,Treehouse,Human Male,76982,
GSInstinct,Transcend,Human Male,88826,
Nekurotic,Transcend,Elf Female,42736,
Refractory,,Human Female,0,
Pozye,,Human Female,49968,
